date,canada_cpi_energy_idx2015,uk_cpi_energy_idx2015,usa_cpi_energy_idx2015
1970-01-01,8.497352000000001,4.916084,12.36248
1970-02-01,8.497352000000001,4.920354,12.36248
1970-03-01,8.698076,4.922489,12.31323
1970-04-01,8.698076,4.920354,12.5595
1970-05-01,8.698076,4.847758,12.5595
1970-06-01,8.698076,4.847758,12.46099
1970-07-01,8.698076,4.871312000000001,12.5595
1970-08-01,8.698076,4.892663,12.51024
1970-09-01,8.698076,4.909745,12.60875
1970-10-01,8.698076,5.057073,12.75651
1970-11-01,8.764985000000001,5.082762000000001,12.75651
1970-12-01,8.764985000000001,5.082762000000001,12.90427
1971-01-01,8.831892999999999,5.166168,12.95352
1971-02-01,8.898800999999999,5.219615,12.95352
1971-03-01,8.898800999999999,5.296548,12.95352
1971-04-01,9.166434,5.349928,12.85501
1971-05-01,9.166434,5.324306,12.90427
1971-06-01,9.166434,5.352062999999999,12.95352
1971-07-01,9.166434,5.426794999999999,12.95352
1971-08-01,9.166434,5.431066,13.19978
1971-09-01,9.166434,5.431066,13.24904
1971-10-01,9.166434,5.53569,13.24904
1971-11-01,9.233342,5.53569,13.15053
1971-12-01,9.233342,5.53569,13.29829
1972-01-01,9.300251,5.546366,13.29829
1972-02-01,9.300251,5.563447,13.24904
1972-03-01,9.367159,5.595475,13.29829
1972-04-01,9.367159,5.676612,13.24904
1972-05-01,9.367159,5.678881,13.34754
1972-06-01,9.367159,5.691692,13.29829
1972-07-01,9.367159,5.691692,13.34754
1972-08-01,9.367159,5.702368,13.44605
1972-09-01,9.367159,5.725922,13.59381
1972-10-01,9.367159,5.826276,13.59381
1972-11-01,9.367159,5.826276,13.64306
1972-12-01,9.367159,5.826276,13.64306
1973-01-01,9.634792,5.832682,13.79082
1973-02-01,9.768609,5.832682,13.93858
1973-03-01,9.768609,5.832682,13.98783
1973-04-01,9.768609,5.832682,14.13559
1973-05-01,9.902426,5.837152,14.2341
1973-06-01,10.03624,5.837152,14.43111
1973-07-01,10.17006,5.839288,14.43111
1973-08-01,10.43769,5.839288,14.48036
1973-09-01,10.5046,5.839288,14.48036
1973-10-01,10.63842,6.014507,14.82513
1973-11-01,10.77223,6.074358999999999,15.36691
1973-12-01,11.10677,6.134144,15.95795
1974-01-01,11.10677,6.382361,16.8445
1974-02-01,11.10677,6.934587,17.48479
1974-03-01,11.10677,6.958749000000001,18.22358
1974-04-01,11.10677,7.241397,18.56835
1974-05-01,11.77586,7.362206,18.91312
1974-06-01,12.1104,7.499123,19.06088
1974-07-01,12.1104,7.660201,19.25789
1974-08-01,12.1104,7.697659,19.30715
1974-09-01,12.1104,7.701686,19.3564
1974-10-01,12.1104,7.709741,19.20864
1974-11-01,12.1104,7.886927,19.25789
1974-12-01,12.17731,8.414991,19.40565
1975-01-01,12.37803,9.08096,19.60266
1975-02-01,12.37803,9.197742,19.79967
1975-03-01,12.64567,9.30989,19.84893
1975-04-01,12.71257,9.556143,20.04594
1975-05-01,12.77948,9.850111,20.29221
1975-06-01,12.77948,10.14811,20.63698
1975-07-01,13.64929,10.28905,21.12951
1975-08-01,13.85001,10.29308,21.27726
1975-09-01,14.11765,10.31724,21.47428
1975-10-01,14.11765,10.45476,21.47428
1975-11-01,14.38528,10.54738,21.57278
1975-12-01,14.58601,10.93314,21.62203
1976-01-01,14.85364,11.05676,21.67129
1976-02-01,14.98745,11.01428,21.67129
1976-03-01,15.05436,10.97926,21.57278
1976-04-01,15.05436,11.22369,21.57278
1976-05-01,15.12127,11.55891,21.81905
1976-06-01,15.25509,11.71194,22.16382
1976-07-01,15.25509,11.78442,22.36083
1976-08-01,15.25509,11.88791,22.45933
1976-09-01,15.92417,11.89999,22.60709
1976-10-01,16.1249,12.06107,22.7056
1976-11-01,16.05799,12.39447,22.85336
1976-12-01,16.05799,12.49051,23.14887
1977-01-01,16.39253,12.57508,23.34589
1977-02-01,16.39253,12.54286,23.6414
1977-03-01,17.06161,12.57105,23.88767
1977-04-01,17.19543,13.02283,24.08468
1977-05-01,17.26234,13.39551,24.23244
1977-06-01,17.26234,13.56062,24.42945
1977-07-01,17.26234,13.59808,24.57721
1977-08-01,17.26234,13.2494,24.67571
1977-09-01,17.73069,13.25746,24.67571
1977-10-01,17.86451,13.36679,24.77422
1977-11-01,17.93142,13.3231,24.77422
1977-12-01,17.86451,13.28747,24.82347
1978-01-01,17.93142,13.28344,24.87273
1978-02-01,18.13214,13.33177,25.02048
1978-03-01,18.80123,13.36801,25.16825
1978-04-01,18.73432,13.38533,25.316
1978-05-01,18.73432,13.49809,25.56227
1978-06-01,18.66741,13.59876,25.90704
1978-07-01,18.73432,13.66722,26.10405
1978-08-01,19.00195,13.66722,26.25181
1978-09-01,19.47031,13.66722,26.39957
1978-10-01,19.47031,13.65514,26.59658
1978-11-01,19.47031,13.88627,26.49807
1978-12-01,19.60413,13.87358,26.79359
1979-01-01,20.00558,13.93277,27.18761
1979-02-01,20.07248,14.03223,27.58164
1979-03-01,20.07248,14.25006,28.32043
1979-04-01,20.2063,14.52185,29.35474
1979-05-01,20.27321,14.64828,30.58607
1979-06-01,20.27321,15.25225,32.30992
1979-07-01,20.47393,16.84472,33.689
1979-08-01,20.54084,17.07023,34.77256
1979-09-01,21.41065,17.244,35.70837
1979-10-01,21.61137,17.35736,36.10239
1979-11-01,21.8121,17.65597,36.10239
1979-12-01,22.07973,17.79569,36.84119
1980-01-01,22.48118,17.96581,38.46653
1980-02-01,22.54809,18.17499,40.43665
1980-03-01,23.15026,18.43431,41.66797
1980-04-01,23.35099,19.22633,42.11125
1980-05-01,23.4179,19.70896,42.60378
1980-06-01,23.55171,20.49338,43.14556
1980-07-01,23.81935,20.72474,43.49033
1980-08-01,24.08698,20.72999,43.49033
1980-09-01,24.08698,20.88202,43.44108
1980-10-01,25.62587,21.10069,43.19482
1980-11-01,26.29495,21.442,42.94855
1980-12-01,26.36186,21.57025,43.49033
1981-01-01,28.03457,21.79052,44.82015999999999
1981-02-01,28.16839,22.04741,47.0858
1981-03-01,29.50655,23.01715,48.0216
1981-04-01,29.50655,23.3564,48.12011
1981-05-01,30.17563,23.70052,48.26787
1981-06-01,31.64762,24.23367,48.61264
1981-07-01,31.98216,24.57635,48.80965
1981-08-01,32.11597,25.38888,48.8589
1981-09-01,33.1196,25.37338,48.95741
1981-10-01,33.45414,25.47869,48.71114
1981-11-01,33.45414,25.61036,48.61264
1981-12-01,34.39086,25.47307,48.66189
1982-01-01,34.7923,25.41753,48.8589
1982-02-01,34.85921,25.10813,48.46488
1982-03-01,36.73265,25.3749,47.67683
1982-04-01,36.86646,25.96983,46.44551
1982-05-01,37.33482,26.43916,47.1843
1982-06-01,37.40173,27.12048,49.10517
1982-07-01,37.40173,27.37699,49.84396
1982-08-01,37.73627,27.711,49.84396
1982-09-01,39.40898,27.69147,49.79470999999999
1982-10-01,38.94062,27.92663,49.89321
1982-11-01,39.20825,28.36374,49.59769
1982-12-01,39.20825,28.55704,49.30218
1983-01-01,38.60608,28.46305,48.66189
1983-02-01,37.87009,28.39801,47.72609
1983-03-01,41.01477,28.33601,46.93804
1983-04-01,39.14134,28.70885,48.12011
1983-05-01,37.80318,28.7805,49.44994000000001
1983-06-01,41.2155,28.74828,50.13948
1983-07-01,41.61695,29.0114,50.48425
1983-08-01,41.88458,29.14429,50.43499
1983-09-01,41.75077,29.17651,50.38574000000001
1983-10-01,41.34932,29.2047,49.89321
1983-11-01,41.01477,29.28926,49.30218
1983-12-01,41.61695,29.29732,49.05591
1984-01-01,42.62057,29.3094,48.90815
1984-02-01,42.8213,29.25728,49.30218
1984-03-01,41.88458,29.33379,49.05591
1984-04-01,42.0184,29.54357,49.44994000000001
1984-05-01,41.75077,29.62008,49.99172
1984-06-01,42.15222,29.73565,50.28724
1984-07-01,42.88821,29.73626,50.28724
1984-08-01,42.35294,29.84658,50.13948
1984-09-01,42.55367,29.83511,50.33649
1984-10-01,42.55367,30.19085,50.09023
1984-11-01,43.75801,30.33521,49.49919000000001
1984-12-01,44.22637,30.38756,49.15442
1985-01-01,44.96236,30.37206,48.66189
1985-02-01,44.82855,30.42064,48.26787
1985-03-01,44.82855,31.18349,48.90815
1985-04-01,44.82855,31.62789,49.79470999999999
1985-05-01,44.82855,31.79342,50.68125999999999
1985-06-01,44.69473,31.85819,51.27229000000001
1985-07-01,44.15947,31.6243,51.32155
1985-08-01,44.29328,31.52354,50.92752
1985-09-01,45.29691,31.45517,50.77977
1985-10-01,45.56454,31.18889,50.13948
1985-11-01,45.83217,31.12052,49.89321
1985-12-01,46.0329,31.15291,50.04097
1986-01-01,46.43435,31.13671,49.84396
1986-02-01,46.43435,30.7373,47.97235
1986-03-01,44.89545,30.0716,44.77091
1986-04-01,41.88458,29.52285,42.45602
1986-05-01,40.81405,28.77618,43.14556
1986-06-01,40.68023,29.05866,44.6724
1986-07-01,40.54642,28.80857,42.9978
1986-08-01,40.4126,28.69162,42.11125
1986-09-01,39.87733,29.38971,42.30826
1986-10-01,39.54279,29.38971,40.92918
1986-11-01,39.94424,29.37351,40.09188
1986-12-01,40.07806,29.34113,40.19039
1987-01-01,40.61333,29.50665,41.3232
1987-02-01,41.48314,29.77293,42.1605
1987-03-01,42.28603,29.71392,42.25901
1987-04-01,42.55367,29.66354,42.55453
1987-05-01,42.62057,29.55595,43.04705999999999
1987-06-01,43.08893,29.5027,44.6724
1987-07-01,43.28966,29.50737,44.86942
1987-08-01,43.49038,29.49118,45.65746
1987-09-01,43.82492,29.3969,45.46045
1987-10-01,43.6911,29.23606,44.22913
1987-11-01,43.82492,29.25801,43.8351
1987-12-01,43.82492,29.17524,43.49033
1988-01-01,43.82492,29.08492,43.04705999999999
1988-02-01,43.22275,28.91652,42.85004
1988-03-01,42.88821,28.88413,42.60378
1988-04-01,43.35655999999999,29.3476,42.9978
1988-05-01,43.75801,29.58006,43.68734
1988-06-01,43.6242,29.98848,44.82015999999999
1988-07-01,43.6911,30.20942,45.01717
1988-08-01,42.95512,30.16372,45.46045
1988-09-01,43.02202,30.15616,45.26344
1988-10-01,42.75439,30.14572,44.27838
1988-11-01,42.35294,30.13817,43.78585
1988-12-01,42.21912,30.14392,43.68734
1989-01-01,42.55367,30.1468,43.8351
1989-02-01,42.8213,30.39977,43.98286
1989-03-01,43.08893,30.5491,44.22913
1989-04-01,43.49038,31.53937,46.74102
1989-05-01,45.16309,32.03415,47.97235
1989-06-01,45.43072,32.2684,48.7604
1989-07-01,45.56454,32.19823,48.51413
1989-08-01,45.56454,31.83408,47.77534
1989-09-01,45.49763,31.97586,47.23355
1989-10-01,45.36382,32.13382,46.59327
1989-11-01,45.56454,32.12915,45.90372
1989-12-01,45.36382,32.0579,45.90372
1990-01-01,46.43435,32.42133,48.07085
1990-02-01,46.96961,32.28136,47.47982
1990-03-01,47.37106,32.30043,47.03654
1990-04-01,47.77251,33.598,47.13505
1990-05-01,48.30778,33.99239,47.62758
1990-06-01,48.57541,34.18777,49.00666
1990-07-01,48.44159000000001,34.1813,48.71114
1990-08-01,48.57541,35.64727,51.02603
1990-09-01,49.11068,37.15104,53.58718
1990-10-01,51.31865,37.89914,54.86776
1990-11-01,53.05826999999999,36.70916,54.62149
1990-12-01,52.99136,35.7286,54.22747
1991-01-01,55.26624,35.68038,52.74988
1991-02-01,52.12155,35.18776,50.63201
1991-03-01,50.44884,35.0942,49.10517
1991-04-01,49.57904,36.93657,49.00666
1991-05-01,51.05102,37.71886,50.28724
1991-06-01,51.18483,37.95527,50.97678
1991-07-01,51.85392,38.39787,50.58275
1991-08-01,51.7201,38.38276,50.68125999999999
1991-09-01,52.05464,38.16793,51.02603
1991-10-01,51.05102,38.3277,50.13948
1991-11-01,51.05102,38.2964,50.13948
1991-12-01,50.44884,38.02148,50.18873
1992-01-01,51.92083,37.26726,49.30218
1992-02-01,50.58266,37.46985,48.7604
1992-03-01,50.24812,37.70375,48.71114
1992-04-01,50.31503,38.32195,49.00666
1992-05-01,51.05102,38.61305,50.43499
1992-06-01,51.85392,38.58931,52.15885
1992-07-01,52.85754,38.57887,52.2081
1992-08-01,52.25537,38.24206,51.91258
1992-09-01,51.92083,38.04703,52.15885
1992-10-01,51.85392,38.57203,51.46931
1992-11-01,52.38918,38.9477,51.46931
1992-12-01,52.32227,39.05602,51.17379
1993-01-01,52.58991,38.5015,50.92752
1993-02-01,52.32227,38.83435,50.33649
1993-03-01,51.92083,39.05313,50.48425
1993-04-01,51.98773,39.83002,50.77977
1993-05-01,52.32227,39.66054,51.42006
1993-06-01,52.79063000000001,39.81923,52.45436
1993-07-01,52.58991,39.54431,52.1096
1993-08-01,52.25537,39.41117,51.81408
1993-09-01,52.45609,39.55295,51.81408
1993-10-01,52.18846,39.39894,51.91258
1993-11-01,52.18846,39.30286,51.07528
1993-12-01,51.58628,40.04269,50.43499
1994-01-01,51.11793,39.90379,49.89321
1994-02-01,51.7201,39.78289,50.23798
1994-03-01,51.85392,39.62492,50.18873
1994-04-01,51.78701,41.37157,50.23798
1994-05-01,52.25537,41.41043,50.68125999999999
1994-06-01,52.99136,41.54069,52.06034
1994-07-01,53.45972,41.49319000000001,52.60211999999999
1994-08-01,53.92807,42.06102,53.43942
1994-09-01,53.39281,41.94119,53.29166
1994-10-01,52.32227,41.61589,52.1096
1994-11-01,53.19208,41.33054,52.06034
1994-12-01,52.72371999999999,42.06281,51.56780999999999
1995-01-01,52.523,42.43093,51.32155
1995-02-01,52.65681,42.27692,51.07528
1995-03-01,52.99136,42.50901,50.82902
1995-04-01,53.19208,42.80768,51.17379
1995-05-01,54.39643,42.83898,52.35586
1995-06-01,54.32952,42.83611,53.83345
1995-07-01,53.92807,42.89224,53.24241
1995-08-01,53.19208,42.79904000000001,52.89764
1995-09-01,53.3259,42.59465,52.30661
1995-10-01,52.72371999999999,42.28555,51.46931
1995-11-01,52.523,42.00595999999999,50.63201
1995-12-01,53.19208,43.50288,50.87827
1996-01-01,53.19208,43.67884,51.71557
1996-02-01,53.05826999999999,43.17794,51.66632
1996-03-01,53.92807,43.07776,52.25735
1996-04-01,54.66407,43.3783,54.17822
1996-05-01,56.40368,43.27812,55.60655
1996-06-01,55.60078000000001,43.17794,55.70506
1996-07-01,54.19571,43.17794,55.40954
1996-08-01,54.26262,43.47848,54.96626
1996-09-01,54.66407,44.27993,55.01552
